bqcg 阿尔巴尼亚
bqcl 阿尔巴尼亚共和国
bqif 阿尔法
bqbg 阿尔及利亚
bqbl 阿尔及利亚民主人民共和国
bpif 阿富汗
bpin 阿富汗尼
bstf 阿根廷
bstl 阿根廷共和国
bffc 阿赫韦南马
brwr 阿拉伯
brwl 阿拉伯联合酋长国
brwl 阿拉伯叙利亚共和国
brsg 阿拉丁
brso 阿拉丁神灯
bbus 阿联酋
bqcn 阿鲁巴
bqcr 阿鲁巴荷兰盾
bsjl 阿曼
bjal 阿曼苏丹国
bxbw 阿弥陀佛
bprx 阿塞拜疆
bprl 阿塞拜疆共和国
bssw 阿森松
bssq 阿森松岛
bddd 阿斯克勒庇俄斯
kbsk 啊
kctd 唉
fctd 埃
fcby 埃及
fpwg 埃塞俄比亚
fpwl 埃塞俄比亚联邦民主共和国
epdc 爱
erpc 爱的礼物
equd 爱尔兰
equl 爱尔兰共和国
epoo 爱火
epaj 爱慕
ewrr 爱你的手势
ewrr 爱你手势
epng 爱情
enpq 爱情宾馆
enio 爱情酒店
enyo 爱情旅店
enyq 爱情旅馆
eing 爱沙尼亚
einl 爱沙尼亚共和国
epnn 爱书
epny 爱心
engx 爱心环绕
arfa 艾塔
pvcn 安巴
puqi 安道尔
puql 安道尔公国
psru 安哥拉
psrl 安哥拉共和国
pfru 安圭拉
pvsw 安检
pvge 安静
pgre 安静的脸
pvwg 安全
pwun 安全背心
pwkq 安全别针
pwmh 安全帽
prrd 安提瓜和巴布达
odhk 庵点
rpyg 按定义等于
rpqv 按键
rpos 按摩
rpqn 按钮
jufi 暗示
mdng 盎司
rdun 翱翔
wgnj 傲慢
tftj 奥地利
tftl 奥地利共和国
tmud 奥兰
tuvq 奥兰群岛
tpda 奥密克戎
tmvx 奥姆
tvtk 奥姆符号
tdcq 奥斯特拉尔
idtg 澳大利亚
idtd 澳大利亚联邦
igfw 澳亚地球仪
itiy 澳洲
iifw 澳洲地球仪
iigi 澳洲亚洲
wty 八
wega 八边形
wthk 八点
whug 八点半
whqk 八点钟
wwut 八分音符
wwpa 八分之七
wwpd 八分之三
wwps 八分之三相
wwpg 八分之五
wwpg 八分之一
wtff 八卦
wqjt 八角星
wllk 八轮辐星号
wtrh 八爪
ccqd 巴巴多斯
cdgg 巴布亚新几内亚
cdgl 巴布亚新几内亚独立国
ckcg 巴哈马
ckcl 巴哈马国
cddf 巴基斯坦
cddl 巴基斯坦伊斯兰共和国
crff 巴拉圭
crfl 巴拉圭共和国
cadf 巴勒斯坦
cadf 巴勒斯坦领土
cnss 巴林
csgl 巴林王国
cwcg 巴拿马
cwcl 巴拿马共和国
cnfg 巴士
cnsg 巴西
csbd 巴西联邦
csbl 巴西联邦共和国
aata 芭蕾舞鞋
afny 靶心
wrwr 爸爸
fgdx 霸王龙
rexq 白边线方形按钮
rexq 白边线正方形按钮
roos 白炽灯
rdpu 白大褂
rdpq 白大褂儿
rrwt 白俄
rwld 白俄罗斯
rrnt 白发
rnle 白发男
rnlw 白发男人
rnlb 白发男子
rnvv 白发女
rnvw 白发女人
rnvb 白发女子
rdkk 白感叹号
rraw 白花
rnkk 白惊叹号
rrwy 白领
rryt 白旗
rrsd 白棋
rjif 白日小云
rrqc 白色
rqdf 白色大方块
rqra 白色的花
rqrb 白色的将棋棋子
rqrn 白色的心
rqyq 白色方形按钮
rqdk 白色感叹号
rqnk 白色惊叹号
rqym 白色旗帜
rqyb 白色旗子
rqkk 白色叹号
rqun 白色头发
rquk 白色问号
rqif 白色小方块
rqny 白色心
rqlk 白色圆
rqgq 白色正方形按钮
rqkf 白色中等方块
rqkf 白色中方块
rqkf 白色中小方块
rfpm 白十字安全帽
rfpd 白十字头盔
rrsd 白手杖
rkkg 白叹号
rgtr 白天鹅
rukg 白问号
rxds 白线大方框
rxyq 白线方形按钮
rxgq 白线正方形按钮
rrny 白心
rrhv 白眼
rhqt 白眼儿
rruy 白羊
ruow 白羊座
rrbb 白子
rlrt 摆手
djwg 百合
dwaw 百合花
dwaq 百合花饰
dwyo 百货商店
dfqn 百吉饼
dflu 百吉圈
dadd 百慕大
rdrd 拜拜
rdqq 拜金
rdrt 拜托
rrrt 扳手
gyhk 斑点
gycg 斑马
ghgg 班卓琴
sqaf 板儿鞋
